n,number_of_variables,number_of_states,number_of_transitions,well_formed,weight,weight_calculation_time,mean_time_usage,time_usage_unit
2,2,4,7,True,1,0.00065,0.22,second
3,2,5,10,True,1,0.00085,0.22,second
4,2,6,13,True,1,0.00106,0.223,second
5,2,7,16,True,1,0.00122,0.223,second
6,2,8,19,True,1,0.0014,0.226,second
7,2,9,22,True,1,0.00162,0.227,second
8,2,10,25,True,1,0.0018,0.228,second
9,2,11,28,True,1,0.00202,0.23,second
10,2,12,31,True,1,0.00221,0.23,second
11,2,13,34,True,1,0.00241,0.234,second
12,2,14,37,True,1,0.00261,0.234,second
13,2,15,40,True,1,0.00293,0.236,second
14,2,16,43,True,1,0.00303,0.238,second
15,2,17,46,True,1,0.00324,0.24,second
16,2,18,49,True,1,0.00355,0.241,second
17,2,19,52,True,1,0.00371,0.244,second
18,2,20,55,True,1,0.00389,0.246,second
19,2,21,58,True,1,0.00415,0.247,second
20,2,22,61,True,1,0.00434,0.248,second
30,2,32,91,True,1,0.00699,0.264,second
40,2,42,121,True,1,0.00961,0.282,second
50,2,52,151,True,1,0.01242,0.299,second
60,2,62,181,True,1,0.01538,0.317,second
70,2,72,211,True,1,0.01878,0.335,second
80,2,82,241,True,1,0.02174,0.365,second
90,2,92,271,True,1,0.02549,0.386,second
100,2,102,301,True,1,0.0291,0.409,second
110,2,112,331,True,1,0.03355,0.44,second
120,2,122,361,True,1,0.03771,0.448,second
130,2,132,391,True,1,0.04447,0.476,second
140,2,142,421,True,1,0.04655,0.492,second
150,2,152,451,True,1,0.05171,0.515,second
160,2,162,481,True,1,0.05699,0.54,second
170,2,172,511,True,1,0.062,0.565,second
180,2,182,541,True,1,0.06845,0.583,second
190,2,192,571,True,1,0.07384,0.609,second
200,2,202,601,True,1,0.0803,0.643,second
